,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
69,"Fri, Oct 28, 2022",7:00p,Atlanta Hawks,136,Detroit Pistons,112,Box Score,,18923.0,Little Caesars Arena,
70,"Fri, Oct 28, 2022",7:00p,Charlotte Hornets,93,Orlando Magic,113,Box Score,,18846.0,Amway Center,
71,"Fri, Oct 28, 2022",7:30p,Cleveland Cavaliers,132,Boston Celtics,123,Box Score,OT,19156.0,TD Garden,
72,"Fri, Oct 28, 2022",7:30p,Philadelphia 76ers,112,Toronto Raptors,90,Box Score,,19800.0,Scotiabank Arena,
73,"Fri, Oct 28, 2022",7:30p,Indiana Pacers,127,Washington Wizards,117,Box Score,,13463.0,Capital One Arena,
74,"Fri, Oct 28, 2022",8:00p,New York Knicks,108,Milwaukee Bucks,119,Box Score,,17341.0,Fiserv Forum,
75,"Fri, Oct 28, 2022",8:00p,Los Angeles Lakers,102,Minnesota Timberwolves,111,Box Score,,17136.0,Target Center,
76,"Fri, Oct 28, 2022",8:30p,Chicago Bulls,124,San Antonio Spurs,129,Box Score,,16562.0,AT&T Center,
77,"Fri, Oct 28, 2022",9:00p,Utah Jazz,101,Denver Nuggets,117,Box Score,,19560.0,Ball Arena,
78,"Fri, Oct 28, 2022",10:00p,New Orleans Pelicans,111,Phoenix Suns,124,Box Score,,17071.0,Footprint Center,
79,"Fri, Oct 28, 2022",10:00p,Houston Rockets,111,Portland Trail Blazers,125,Box Score,,19082.0,Moda Center,
