,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
157,"Wed, Nov 23, 2022",7:00p,Philadelphia 76ers,,Charlotte Hornets,,,,,Spectrum Center,
158,"Wed, Nov 23, 2022",7:00p,Portland Trail Blazers,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
159,"Wed, Nov 23, 2022",7:00p,Minnesota Timberwolves,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
160,"Wed, Nov 23, 2022",7:30p,Sacramento Kings,,Atlanta Hawks,,,,,State Farm Arena,
161,"Wed, Nov 23, 2022",7:30p,Dallas Mavericks,,Boston Celtics,,,,,TD Garden,
162,"Wed, Nov 23, 2022",7:30p,Washington Wizards,,Miami Heat,,,,,FTX Arena,
163,"Wed, Nov 23, 2022",7:30p,Brooklyn Nets,,Toronto Raptors,,,,,Scotiabank Arena,
164,"Wed, Nov 23, 2022",8:00p,Chicago Bulls,,Milwaukee Bucks,,,,,Fiserv Forum,
165,"Wed, Nov 23, 2022",8:00p,Denver Nuggets,,Oklahoma City Thunder,,,,,Paycom Center,
166,"Wed, Nov 23, 2022",8:00p,New Orleans Pelicans,,San Antonio Spurs,,,,,AT&T Center,
167,"Wed, Nov 23, 2022",9:00p,Detroit Pistons,,Utah Jazz,,,,,Vivint Arena,
168,"Wed, Nov 23, 2022",10:00p,Los Angeles Clippers,,Golden State Warriors,,,,,Chase Center,
