,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
2,"Wed, Oct 19, 2022",7:00p,Orlando Magic,109,Detroit Pistons,113,Box Score,,20190.0,Little Caesars Arena,
3,"Wed, Oct 19, 2022",7:00p,Washington Wizards,114,Indiana Pacers,107,Box Score,,15027.0,Gainbridge Fieldhouse,
4,"Wed, Oct 19, 2022",7:30p,Houston Rockets,107,Atlanta Hawks,117,Box Score,,17878.0,State Farm Arena,
5,"Wed, Oct 19, 2022",7:30p,New Orleans Pelicans,130,Brooklyn Nets,108,Box Score,,18003.0,Barclays Center,
6,"Wed, Oct 19, 2022",7:30p,New York Knicks,112,Memphis Grizzlies,115,Box Score,OT,18202.0,FedEx Forum,
7,"Wed, Oct 19, 2022",7:30p,Chicago Bulls,116,Miami Heat,108,Box Score,,19600.0,FTX Arena,
8,"Wed, Oct 19, 2022",7:30p,Cleveland Cavaliers,105,Toronto Raptors,108,Box Score,,19800.0,Scotiabank Arena,
9,"Wed, Oct 19, 2022",8:00p,Oklahoma City Thunder,108,Minnesota Timberwolves,115,Box Score,,17136.0,Target Center,
10,"Wed, Oct 19, 2022",8:00p,Charlotte Hornets,129,San Antonio Spurs,102,Box Score,,16236.0,AT&T Center,
11,"Wed, Oct 19, 2022",9:00p,Denver Nuggets,102,Utah Jazz,123,Box Score,,18206.0,Vivint Arena,
12,"Wed, Oct 19, 2022",10:00p,Dallas Mavericks,105,Phoenix Suns,107,Box Score,,17071.0,Footprint Center,
13,"Wed, Oct 19, 2022",10:00p,Portland Trail Blazers,115,Sacramento Kings,108,Box Score,,17611.0,Golden 1 Center,
