,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
196,"Mon, Nov 28, 2022",7:00p,Atlanta Hawks,,Philadelphia 76ers,,,,,Wells Fargo Center,
197,"Mon, Nov 28, 2022",7:00p,Minnesota Timberwolves,,Washington Wizards,,,,,Capital One Arena,
198,"Mon, Nov 28, 2022",7:30p,Charlotte Hornets,,Boston Celtics,,,,,TD Garden,
199,"Mon, Nov 28, 2022",7:30p,Orlando Magic,,Brooklyn Nets,,,,,Barclays Center,
200,"Mon, Nov 28, 2022",7:30p,Cleveland Cavaliers,,Toronto Raptors,,,,,Scotiabank Arena,
201,"Mon, Nov 28, 2022",8:00p,Oklahoma City Thunder,,New Orleans Pelicans,,,,,Smoothie King Center,
202,"Mon, Nov 28, 2022",9:00p,Houston Rockets,,Denver Nuggets,,,,,Ball Arena,
203,"Mon, Nov 28, 2022",9:00p,Chicago Bulls,,Utah Jazz,,,,,Vivint Arena,
204,"Mon, Nov 28, 2022",10:00p,Phoenix Suns,,Sacramento Kings,,,,,Golden 1 Center,
205,"Mon, Nov 28, 2022",10:30p,Indiana Pacers,,Los Angeles Lakers,,,,,Crypto.com Arena,
